te,max
1814,26.8
1815,27.4
1816,27.2
1817,26.9
1818,25.7
1819,25.8
1820,26.2
1821,25.9
1822,25.3
1823,25.8
1824,26
1825,25.7
1826,26.4
1827,25.9
1828,25.5
1829,25.6
1830,25.6
1831,25.6
1832,26.6
1833,25.3
1834,25.9
1835,26.3
1836,27
1837,25.5
1838,23.5
1839,25.1
1840,23.9
1841,24.2
1842,23.5
1843,23.2
1844,23.2
1845,23.2
1846,25.6
1847,26.1
1848,26.2
1849,25.8
1850,26.6
1851,27.5
1852,27.8
1853,28
1854,28.7
1855,28.2
1856,28
1857,27.3
1858,26.6
1859,26.9
1860,26.9
1861,25.2
1862,25.1
1863,25.1
1864,25.1
1865,26
1866,26.2
1867,27.3
1868,26.9
1869,27.6
1870,28.3
1871,28.1
1872,28.6
1873,28.3
1874,28.9
1875,29.5
1876,28.9
1877,29.6
1878,29.2
1879,29.8
1880,27.6
1881,26.3
1882,28.4
1883,29.4
1884,30.3
1885,30.9
1886,30.9
1887,26.3
1888,28.1
1889,28.6
1890,30.5
1891,30.9
1892,30.5
1893,30.9
1894,30.9
1895,29.9
1896,30.4
1897,29.9
1898,29.1
1899,28.6
1900,29.3
1901,28.9
1902,29.3
1903,29.3
1904,29.1
1905,29.1
1906,29.4
1907,29.7
1908,29.4
1909,29.4
1910,30.9
1911,31.4
1912,30.7
1913,30.1
1914,29.7
1915,28.8
1916,29.4
1917,30.1
1918,30.9
1919,30.5
1920,30.6
1921,31.4
1922,30.9
1923,30.4
1924,30
1925,30.1
1926,31.8
1927,31.1
1928,30.9
1929,31.4
1930,31.2
1931,31.4
1932,30.9
1933,31.1
1934,31.4
1935,31.5
1936,31.2
1937,28.9
1938,29.3
1939,30.4
1940,30.8
1941,31.6
1942,32.1
1943,31.6
1944,32.1
1945,32.4
1946,32.4
1947,32.6
1948,32.4
1949,32.2
1950,32.6
1951,32.6
1952,31.9
1953,32.2
1954,32.4
1955,33.2
1956,32.8
1957,32.2
1958,32.3
1959,31.1
1960,31.3
1961,31.1
1962,30.9
1963,30.9
1964,30.4
1965,30.4
1966,28.4
1967,29.4
1968,29
1969,29.7
1970,30.3
1971,30.8
1972,31.2
1973,31.6
1974,31.9
1975,32
1976,32.3
1977,32.9
1978,31.9
1979,30.7
1980,31.4
1981,31.6
1982,31.6
1983,31.3
1984,32.1
1985,31.7
1986,32.6
1987,32.9
1988,33.4
1989,33
1990,33.1
1991,33.6
1992,33.1
1993,32.6
1994,31.1
1995,30.6
1996,29.7
1997,27.4
1998,27.6
1999,28.9
2000,29.1
2001,28.6
2002,27.9
2003,29.4
2004,29.2
2005,30.2
2006,29.4
2007,28.9
2008,29.4
2009,28.5
2010,29
2011,28.6
2012,28.1
2013,28.4
2014,29.4
2015,29.9
2016,30.5
2017,30.4
2018,31.4
2019,31.1
2020,30.4
2021,29.2
2022,29.9
2023,30
2024,30.7
2025,31.4
2026,31
2027,31.1
2028,31.4
2029,31.4
2030,30.1
2031,29.8
2032,29.3
2033,29.3
2034,30.8
2035,31.1
2036,30.2
2037,31.4
2038,30.4
2039,31
2040,30.3
2041,30.6
2042,30.7
2043,29.7
2044,30.6
2045,31
2046,31.3
2047,31.5
2048,30.6
2049,29.9
2050,30.1
2051,30.5
2052,30.7
2053,31.1
2054,31.3
2055,32.1
2056,31.7
2057,30.5
2058,29.2
2059,29.3
2060,29.1
2061,29.3
2062,29
2063,29.4
2064,29.9
2065,30.1
2066,30.2
2067,29.8
2068,30.1
2069,29.4
2070,26.5
2071,27.6
2072,28.2
2073,28.5
2074,28.2
2075,28.9
2076,27.9
2077,27.6
2078,28.5
2079,29.4
2080,28.5
2081,28.1
2082,27.9
2083,27.9
2084,28.5
2085,28.4
2086,28.4
2087,28.4
2088,28.6
2089,28.5
2090,28.6
2091,28.8
2092,29.4
2093,28.6
2094,26.4
2095,27.7
2096,28.3
2097,26.7
2098,28.2
2099,28.4
2100,28.7
2101,29.2
2102,29.6
2103,30.1
2104,30.3
2105,30.2
2106,31.4
2107,31.3
2108,30.2
2109,26.4
2110,25.6
2111,27.8
2112,27.9
2113,27.9
2114,28.2
2115,28.9
2116,28.9
2117,27.1
2118,26.6
2119,25.1
2120,26.8
2121,27.8
2122,27.5
2123,27.6
2124,27.4
2125,26.7
2126,26.7
2127,24.9
2128,27
2129,25.9
2130,25.9
2131,24.1
2132,24.9
2133,27.9
2134,27.3
2135,26.9
2136,24.9
2137,25.1
2138,25.5
2139,25.1
